iter	Passed	Remaining
191	1654	6963
192	1662	6949
193	1671	6944
194	1683	6948
195	1693	6945
196	1703	6944
197	1711	6933
198	1721	6928
199	1730	6922
200	1740	6918
201	1749	6911
202	1757	6901
203	1769	6904
204	1782	6912
205	1795	6921
206	1806	6922
207	1821	6934
208	1830	6928
209	1839	6921
210	1848	6913
211	1856	6898
212	1864	6887
213	1870	6870
214	1877	6855
215	1885	6844
216	1894	6834
217	1901	6822
218	1909	6809
219	1917	6800
220	1926	6791
221	1934	6779
222	1942	6767
223	1949	6755
224	1957	6741
225	1965	6732
226	1974	6723
227	1983	6716
228	1994	6716
229	2002	6705
230	2011	6696
231	2019	6684
232	2028	6678
233	2038	6673
234	2047	6665
235	2054	6650
236	2063	6643
237	2070	6628
238	2079	6622
239	2087	6611
240	2096	6602
241	2103	6589
242	2112	6580
243	2119	6567
244	2130	6564
245	2138	6553
246	2147	6546
247	2156	6539
248	2164	6529
249	2174	6522
250	2181	6511
251	2190	6503
252	2198	6492
253	2207	6483
254	2215	6473
255	2224	6465
256	2232	6454
257	2241	6447
258	2250	6437
259	2258	6428
260	2266	6416
261	2274	6406
262	2281	6394
263	2289	6384
264	2296	6369
265	2302	6352
266	2309	6341
267	2315	6325
268	2322	6312
269	2329	6299
270	2337	6288
271	2345	6277
272	2353	6267
273	2359	6252
274	2366	6237
275	2374	6228
276	2381	6214
277	2390	6207
278	2397	6194
279	2404	6184
280	2412	6172
281	2420	6162
282	2428	6151
283	2436	6141
284	2443	6130
285	2451	6119
286	2459	6111
287	2469	6103
288	2476	6093
289	2485	6085
290	2493	6076
291	2503	6069
292	2510	6058
293	2519	6050
294	2526	6039
295	2535	6030
296	2543	6019
297	2551	6011
298	2559	6000
299	2569	5994
300	2576	5984
301	2585	5976
302	2593	5965
303	2603	5959
304	2610	5948
305	2620	5942
306	2627	5932
307	2636	5923
308	2643	5912
309	2652	5903
310	2659	5892
311	2667	5882
312	2674	5869
313	2682	5860
314	2690	5850
315	2699	5843
316	2707	5832
317	2715	5823
318	2723	5813
319	2730	5802
320	2737	5791
321	2745	5781
322	2753	5771
323	2761	5762
324	2770	5753
325	2779	5747
326	2787	5736
327	2799	5735
328	2810	5732
329	2820	5726
330	2831	5722
331	2841	5718
332	2851	5711
333	2859	5701
334	2869	5695
335	2879	5689
336	2889	5685
337	2899	5679
338	2910	5675
339	2921	5671
340	2933	5669
341	2946	5668
342	2956	5663
343	2966	5656
344	2973	5645
345	2982	5637
346	2990	5628
347	2999	5619
348	3009	5613
349	3016	5602
350	3026	5595
351	3033	5584
352	3041	5574
353	3048	5563
354	3057	5554
355	3064	5542
356	3072	5533
357	3080	5523
358	3088	5514
359	3096	5505
360	3104	5495
361	3112	5485
362	3120	5475
363	3128	5465
364	3135	5454
365	3143	5445
366	3149	5432
367	3156	5420
368	3162	5408
369	3168	5395
370	3176	5385
371	3182	5372
372	3190	5363
373	3197	5351
374	3204	5340
375	3211	5329
376	3217	5317
377	3225	5307
378	3232	5296
379	3240	5286
380	3246	5275
381	3254	5265
382	3261	5253
383	3269	5245
384	3276	5234
385	3283	5222
386	3291	5213
387	3298	5202
388	3306	5193
389	3313	5182
390	3321	5172
391	3328	5162
392	3336	5152
393	3342	5141
394	3351	5134
395	3359	5123
396	3365	5112
397	3373	5102
398	3379	5090
399	3386	5080
400	3393	5068
401	3400	5057
402	3408	5049
403	3415	5039
404	3425	5031
405	3432	5021
406	3440	5012
407	3447	5002
408	3456	4994
409	3462	4982
410	3469	4971
411	3475	4959
412	3481	4948
413	3488	4937
414	3494	4925
415	3502	4916
416	3508	4905
417	3515	4895
418	3522	4883
419	3528	4872
420	3535	4862
421	3541	4850
422	3548	4840
423	3554	4828
424	3560	4817
425	3567	4806
426	3573	4794
427	3580	4785
428	3586	4773
429	3592	4762
430	3599	4752
431	3605	4741
432	3612	4730
433	3618	4719
434	3625	4709
435	3633	4700
436	3639	4688
437	3645	4677
438	3651	4666
439	3657	4655
440	3664	4645
441	3670	4634
442	3676	4622
443	3683	4612
444	3689	4601
445	3695	4590
446	3702	4580
447	3708	4569
448	3716	4561
449	3723	4550
450	3730	4540
451	3736	4530
452	3743	4520
453	3750	4510
454	3756	4499
455	3762	4489
456	3768	4478
457	3778	4470
458	3786	4462
459	3795	4455
460	3802	4445
461	3809	4436
462	3817	4427
463	3824	4417
464	3831	4408
465	3838	4398
466	3846	4390
467	3853	4380
468	3860	4370
469	3867	4360
470	3874	4351
471	3881	4341
472	3887	4331
473	3895	4322
474	3902	4312
475	3909	4303
476	3915	4293
477	3921	4282
478	3929	4273
479	3936	4264
480	3943	4254
481	3949	4244
482	3955	4233
483	3961	4223
484	3969	4214
485	3976	4205
486	3983	4195
487	3989	4185
488	3996	4176
489	4002	4165
490	4009	4156
491	4015	4146
492	4022	4136
493	4029	4126
494	4034	4116
495	4041	4106
496	4047	4096
497	4053	4086
498	4060	4076
499	4066	4066
500	4072	4055
501	4078	4045
502	4083	4035
503	4091	4026
504	4097	4016
505	4105	4007
506	4111	3997
507	4117	3988
508	4125	3979
509	4131	3969
510	4138	3960
511	4144	3950
512	4151	3941
513	4159	3933
514	4166	3923
515	4174	3915
516	4181	3906
517	4188	3897
518	4195	3888
519	4201	3878
520	4208	3869
521	4215	3860
522	4223	3852
523	4230	3842
524	4237	3833
525	4244	3824
526	4250	3814
527	4257	3806
528	4264	3796
529	4272	3789
530	4279	3780
531	4287	3771
532	4294	3762
533	4302	3754
534	4309	3745
535	4315	3735
536	4323	3727
537	4329	3717
538	4337	3710
539	4344	3700
540	4353	3693
541	4360	3684
542	4368	3676
543	4374	3667
544	4381	3657
545	4388	3649
546	4395	3639
547	4402	3631
548	4409	3622
549	4416	3613
550	4423	3604
551	4429	3595
552	4437	3586
553	4443	3577
554	4451	3568
555	4457	3559
556	4463	3550
557	4470	3541
558	4476	3531
559	4483	3523
560	4489	3513
561	4497	3505
562	4503	3495
563	4509	3486
564	4516	3477
565	4522	3468
566	4529	3458
567	4535	3449
568	4541	3440
569	4547	3430
570	4554	3421
571	4560	3412
572	4566	3403
573	4572	3393
574	4579	3384
575	4585	3375
576	4592	3366
577	4599	3358
578	4607	3349
579	4615	3342
580	4622	3333
581	4630	3325
582	4638	3317
583	4645	3309
584	4652	3300
585	4659	3291
586	4667	3283
587	4674	3275
588	4682	3267
589	4689	3258
590	4696	3250
591	4703	3241
592	4711	3233
593	4719	3225
594	4728	3218
595	4736	3210
596	4743	3201
597	4750	3193
598	4757	3184
599	4764	3176
600	4770	3167
601	4777	3158
602	4784	3150
603	4791	3141
604	4797	3132
605	4803	3123
606	4810	3114
607	4816	3105
608	4822	3096
609	4829	3087
610	4835	3078
611	4842	3070
612	4849	3061
613	4855	3052
614	4862	3044
615	4868	3034
616	4875	3026
617	4881	3017
618	4886	3007
619	4894	2999
620	4900	2990
621	4906	2981
622	4912	2972
623	4918	2963
624	4924	2954
625	4930	2945
626	4936	2936
627	4943	2928
628	4949	2919
629	4956	2910
630	4962	2901
631	4968	2892
632	4974	2884
633	4980	2875
634	4986	2866
635	4993	2857
636	4999	2848
637	5006	2840
638	5011	2831
639	5017	2822
640	5024	2814
641	5030	2805
642	5036	2796
643	5043	2787
644	5049	2778
645	5055	2770
646	5061	2761
647	5067	2752
648	5074	2744
649	5080	2735
650	5086	2727
651	5093	2718
652	5099	2709
653	5105	2701
654	5111	2692
655	5117	2683
656	5124	2675
657	5130	2666
658	5136	2657
659	5143	2649
660	5149	2641
661	5156	2632
662	5162	2624
663	5169	2615
664	5175	2607
665	5181	2598
666	5188	2590
667	5194	2581
668	5200	2573
669	5207	2564
670	5213	2556
671	5219	2547
672	5225	2539
673	5231	2530
674	5238	2522
675	5244	2513
676	5251	2505
677	5257	2496
678	5263	2488
679	5269	2479
680	5275	2471
681	5281	2462
682	5288	2454
683	5294	2445
684	5300	2437
685	5306	2428
686	5313	2420
687	5320	2412
688	5326	2404
689	5334	2396
690	5341	2388
691	5348	2380
692	5356	2372
693	5364	2365
694	5372	2357
695	5381	2350
696	5389	2343
697	5396	2334
698	5406	2327
699	5413	2320
700	5422	2312
701	5429	2304
702	5440	2298
703	5447	2290
704	5455	2282
705	5463	2274
706	5471	2267
707	5478	2259
708	5487	2252
709	5498	2245
710	5505	2238
711	5516	2231
712	5524	2223
713	5531	2215
714	5593	2229
715	5604	2223
716	5622	2219
717	5629	2210
718	5635	2202
719	5641	2194
720	5648	2185
721	5655	2177
722	5663	2169
723	5670	2161
724	5678	2153
725	5685	2145
726	5694	2138
727	5703	2130
728	5711	2123
729	5718	2115
730	5726	2107
731	5734	2099
732	5740	2091
733	5750	2083
734	5757	2075
735	5765	2068
736	5772	2059
737	5780	2052
738	5788	2044
739	5796	2036
740	5804	2028
741	5812	2021
742	5819	2012
743	5826	2004
744	5832	1996
745	5838	1987
746	5845	1979
747	5851	1971
748	5858	1963
749	5864	1954
750	5870	1946
751	5877	1938
752	5883	1929
753	5889	1921
754	5896	1913
755	5902	1904
756	5908	1896
757	5915	1888
758	5921	1880
759	5928	1872
760	5935	1864
761	5943	1856
762	5951	1848
763	5959	1840
764	5967	1833
765	5975	1825
766	5982	1817
767	5994	1810
768	6001	1802
769	6010	1795
770	6018	1787
771	6028	1780
772	6036	1772
773	6044	1765
774	6051	1757
775	6061	1749
776	6068	1741
777	6077	1734
778	6084	1726
779	6092	1718
780	6098	1710
781	6106	1702
782	6112	1693
783	6118	1685
784	6125	1677
785	6131	1669
786	6137	1661
787	6143	1652
788	6149	1644
789	6157	1636
790	6163	1628
791	6169	1620
792	6175	1612
793	6181	1603
794	6189	1596
795	6195	1587
796	6201	1579
797	6207	1571
798	6216	1563
799	6225	1556
800	6231	1548
801	6238	1540
802	6244	1532
803	6251	1524
804	6257	1515
805	6264	1507
806	6271	1499
807	6277	1491
808	6284	1483
809	6291	1475
810	6297	1467
811	6304	1459
812	6310	1451
813	6318	1443
814	6325	1435
815	6331	1427
816	6337	1419
817	6343	1411
818	6352	1403
819	6359	1395
820	6365	1387
821	6371	1379
822	6377	1371
823	6383	1363
824	6389	1355
825	6395	1347
826	6402	1339
827	6408	1331
828	6415	1323
829	6421	1315
830	6427	1307
831	6434	1299
832	6440	1291
833	6447	1283
834	6453	1275
835	6459	1267
836	6465	1259
837	6473	1251
838	6482	1243
839	6490	1236
840	6497	1228
841	6503	1220
842	6509	1212
843	6517	1204
844	6525	1197
845	6534	1189
846	6541	1181
847	6548	1173
848	6557	1166
849	6568	1159
850	6577	1151
851	6586	1144
852	6594	1136
853	6602	1128
854	6609	1120
855	6618	1113
856	6625	1105
857	6634	1097
858	6642	1090
859	6650	1082
860	6658	1074
861	6666	1067
862	6672	1059
863	6680	1051
864	6686	1043
865	6693	1035
866	6699	1027
867	6705	1019
868	6712	1011
869	6718	1003
870	6725	996
871	6731	988
872	6739	980
873	6745	972
874	6751	964
875	6758	956
876	6764	948
877	6771	940
878	6778	933
879	6785	925
880	6792	917
881	6798	909
882	6806	901
883	6813	894
884	6820	886
885	6827	878
886	6834	870
887	6843	863
888	6850	855
889	6857	847
890	6864	839
891	6872	832
892	6879	824
893	6887	816
894	6894	808
895	6901	801
896	6909	793
897	6916	785
898	6926	778
899	6932	770
900	6941	762
901	6948	754
902	6956	747
903	6962	739
904	6969	731
905	6975	723
906	6981	715
907	6987	708
908	6993	700
909	7000	692
910	7006	684
911	7013	676
912	7020	668
913	7028	661
914	7038	653
915	7045	646
916	7053	638
917	7060	630
918	7069	623
919	7077	615
920	7085	607
921	7094	600
922	7106	592
923	7114	585
924	7124	577
925	7134	570
926	7141	562
927	7149	554
928	7156	546
929	7162	539
930	7169	531
931	7175	523
932	7182	515
933	7189	508
934	7195	500
935	7202	492
936	7209	484
937	7215	476
938	7222	469
939	7229	461
940	7236	453
941	7243	445
942	7250	438
943	7257	430
944	7264	422
945	7270	415
946	7278	407
947	7287	399
948	7293	391
949	7302	384
950	7309	376
951	7316	368
952	7322	361
953	7328	353
954	7335	345
955	7341	337
956	7349	330
957	7355	322
958	7361	314
959	7368	307
960	7374	299
961	7381	291
962	7388	283
963	7395	276
964	7401	268
965	7407	260
966	7415	253
967	7421	245
968	7428	237
969	7434	229
970	7440	222
971	7447	214
972	7454	206
973	7461	199
974	7467	191
975	7474	183
976	7481	176
977	7487	168
978	7494	160
979	7500	153
980	7506	145
981	7514	137
982	7522	130
983	7531	122
984	7539	114
985	7547	107
986	7555	99
987	7565	91
988	7572	84
989	7580	76
990	7586	68
991	7595	61
992	7602	53
993	7610	45
994	7616	38
995	7622	30
996	7629	22
997	7636	15
998	7647	7
999	7656	0
